2024-09-13T16:17:33.159Z - IP: 51.208.59.112, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.161Z - IP: 37ba:82ba:e1ac:a46c:af71:5244:5a16:5b43, Status: Tráfego bloqueado: requisição de 4757B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.162Z - IP: c16f:f49a:cdf4:7c73:bb8c:be16:e521:84ea, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.162Z - IP: 181.162.159.214, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.163Z - IP: 116.254.36.200, Status: Tráfego bloqueado: requisição de 5589B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.170Z - IP: 46.16.90.85, Status: Tráfego bloqueado: HTTP não permitido, Severidade: 3
2024-09-13T16:17:33.170Z - IP: 182.176.64.44, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.171Z - IP: 168.159.37.159, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.171Z - IP: 144.22.126.181, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.171Z - IP: 192.88.206.163, Status: Tráfego bloqueado: requisição de 6491B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.172Z - IP: 118.20.187.50, Status: Tráfego bloqueado: requisição de 617288B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.173Z - IP: 45.45.141.196, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.173Z - IP: 147.229.206.97, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.173Z - IP: fa3e:9668:9d32:c0b0:98c8:7547:9f6e:f83f, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.174Z - IP: 59b3:7d5f:5dbe:23a6:c9cc:90a1:556f:11d7, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.175Z - IP: 31.73.212.3, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.175Z - IP: 203.21.227.255, Status: Tráfego bloqueado: requisição de 4136B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.176Z - IP: 163.242.39.161, Status: Tráfego bloqueado: ataque XSS via img, Severidade: 4
2024-09-13T16:17:33.177Z - IP: 26.158.117.152, Status: Tráfego bloqueado: requisição de 6188B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.178Z - IP: 133.157.216.48, Status: Tráfego bloqueado: requisição de 4256B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.178Z - IP: 148.90.126.75, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.179Z - IP: 125.53.88.74, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.179Z - IP: 35.55.26.168, Status: Tráfego bloqueado: requisição de 4060B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.180Z - IP: 75.70.131.78, Status: Tráfego bloqueado: requisição de 5268B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.181Z - IP: 110.172.111.130, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.181Z - IP: 91.28.165.177, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.182Z - IP: d705:a8a9:60a8:939b:9dc4:6621:2b7e:2671, Status: Tráfego bloqueado: requisição de 5611B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.182Z - IP: 197.133.212.52, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.182Z - IP: 24.203.45.79, Status: Tráfego bloqueado: requisição de 6658B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.183Z - IP: 71.229.62.234, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.184Z - IP: 124.84.190.162, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.184Z - IP: 158.240.206.108, Status: Tráfego bloqueado: requisição de 6107B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.185Z - IP: 13.130.250.125, Status: Tráfego bloqueado: requisição de 5466B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.185Z - IP: 8e5e:6497:f5d4:cdc:f3f6:af09:4d70:ca77, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.186Z - IP: 192.88.206.163, Status: Tráfego bloqueado: requisição de 4834B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.186Z - IP: 43.130.30.221, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.187Z - IP: 6.184.51.168, Status: Tráfego bloqueado: requisição de 4406B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.187Z - IP: 157.226.241.234, Status: Tráfego bloqueado: requisição de 6508B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.187Z - IP: 202.130.100.163, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.188Z - IP: 171.76.104.123, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.188Z - IP: 186.140.93.12, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.188Z - IP: 133.157.216.48, Status: Tráfego bloqueado: requisição de 6573B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.189Z - IP: 93.22.82.224, Status: Tráfego bloqueado: requisição de 5736B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.189Z - IP: a3e3:34a9:b19e:dc47:6f8e:14a6:80dc:9f1, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.190Z - IP: 3a8:6e06:39c4:d350:4892:714b:bfe8:e47a, Status: Tráfego bloqueado: requisição de 5749B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.190Z - IP: 120.181.116.177, Status: Tráfego bloqueado: requisição de 5751B excede limite máximo de tamanho, Severidade: 4
